strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.116875,9.724321998,-0.017644656,0.053465657,13.72721506,69.9644927,62.99704362,58.00814074,-133610.6091,2879.002764,1420.558369
0.1175,9.38217946,0.114785878,-0.150696469,13.2977738,70.00364463,62.99370057,57.95949969,-133627.124,2877.603339,1419.867864
0.118125,8.99083769,-0.190939532,-0.019365243,12.86538875,70.04279655,62.925052,57.98688528,-133655.8629,2887.88585,1424.941464
0.11875,8.89701717,-0.026625512,0.08925006,12.53880327,70.08194848,62.90019343,57.96633967,-133710.2188,2922.401884,1441.972375
0.119375,8.307493062,-0.017674511,-0.035018066,11.78584778,70.12110041,62.88891523,57.88972014,-133741.1545,2932.585454,1446.997155
0.12,7.773611514,-0.085619414,-0.079976938,11.11064328,70.16025233,62.87838428,57.83211842,-133761.9589,2931.051386,1446.240214
0.120625,7.515494588,0.042325056,0.017047747,10.58657673,70.19940426,62.86051576,57.82959012,-133789.8996,2936.224894,1448.792929
0.12125,7.522158275,-0.263398009,0.056073554,10.79163425,70.23855619,62.80334724,57.82149344,-133834.4651,2957.865586,1459.470885
0.121875,7.162007954,0.168968843,0.082426995,9.951409551,70.27770811,62.83574148,57.79144685,-133901.878,3001.040162,1480.774097
0.1225,6.997912497,0.030730739,-0.035125867,9.89997916,70.31686004,62.8039247,57.77395047,-133911.6698,2986.425925,1473.563135
0.123125,6.871643484,-0.181935941,-0.074621653,9.900257492,70.35601196,62.77168939,57.74418453,-133925.007,2974.799787,1467.826563
0.12375,6.850376413,0.285173059,0.030675291,9.46968783,70.39516389,62.81865161,57.70340955,-133953.8406,2978.012803,1469.41193
0.124375,6.657308053,-0.307364669,-0.249378401,9.808789238,70.43431582,62.77303643,57.6544911,-133975.4944,2974.045729,1467.454496
0.125,7.12080139,0.072033314,0.13703978,9.922816307,70.47346774,62.79464771,57.67103805,-134025.7851,2998.535297,1479.538145
0.125625,6.806346241,-0.089425744,-0.195775285,9.828157881,70.51261967,62.76045074,57.63262297,-134038.1857,2985.428443,1473.070958
0.12625,6.841772749,-0.012429016,0.164867022,9.570401549,70.5517716,62.73539435,57.66204055,-134061.4563,2982.671221,1471.710489
0.126875,6.547963916,-0.112607756,-0.020587069,9.355081232,70.59092352,62.71788145,57.63488571,-134089.1582,2984.28584,1472.507174
0.1275,6.389031628,-0.049341229,-0.106392155,9.145842223,70.63007545,62.71822513,57.60174168,-134085.5598,2954.735064,1457.926222
